City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,6.05,75,43,3.93,CL,1682111513
1,kailua-kona,19.6406,-155.9956,28.61,76,40,5.14,US,1682111498
2,la ronge,55.1001,-105.2842,2.77,49,100,2.53,CA,1682111513
3,talnakh,69.4865,88.3972,-5.44,84,96,4.12,RU,1682111513
4,blackmans bay,-43.0167,147.3167,14.07,84,97,2.3,AU,1682111513
5,mathba,22.2855,89.9629,25.35,78,100,1.95,BD,1682111513
6,tinogasta,-28.0632,-67.5649,24.02,29,70,4.39,AR,1682111442
7,utrik,11.2278,169.8474,26.88,71,99,7.22,MH,1682111514
8,ilulissat,69.2167,-51.1,0.01,80,75,1.54,GL,1682111514
9,waitangi,-43.9535,-176.5597,16.57,92,100,3.58,NZ,1682111330
10,edinburgh of the seven seas,-37.0676,-12.3116,19.3,90,100,15.19,SH,1682111514
11,richfield,44.8833,-93.283,5.71,59,75,8.23,US,1682111514
12,orland,39.7474,-122.1964,27.64,43,79,5.3,US,1682111514
13,cabedelo,-6.9811,-34.8339,28.37,75,100,4.8,BR,1682111514
14,puerto ayora,-0.7393,-90.3518,28.08,88,71,3.58,EC,1682111514
15,derzhavinsk,51.1,66.3167,6.2,67,85,3.81,KZ,1682111514
16,port-aux-francais,-49.35,70.2167,4.99,63,66,6.37,TF,1682111514
17,palmer,42.1584,-72.3287,23.64,35,20,6.17,US,1682111514
18,hermanus,-34.4187,19.2345,9.89,63,100,1.32,ZA,1682111514
19,skanor med falsterbo,55.4,12.85,9.99,68,8,4.51,SE,1682111514
20,baturaja,-4.1333,104.1667,23.23,99,100,1.17,ID,1682111515
21,ust-nera,64.5667,143.2,-5.58,95,99,2.18,RU,1682111515
22,tottori,35.5,134.2333,9.63,57,1,5.07,JP,1682111515
23,bethel,41.3712,-73.414,21.68,51,0,6.69,US,1682111515
24,fale old settlement,-9.3852,-171.2468,28.85,74,18,5.95,TK,1682111515
25,port lincoln,-34.7333,135.8667,15.95,84,0,2.61,AU,1682111515
26,laihia,62.9761,22.0114,5.01,81,0,2.06,FI,1682111515
27,luanda,-8.8368,13.2343,26.0,94,75,0.0,AO,1682111515
28,nampula,-15.1165,39.2666,20.0,99,7,1.07,MZ,1682111515
29,bam,29.106,58.357,23.29,25,4,3.61,IR,1682111515
30,grytviken,-54.2811,-36.5092,2.39,65,100,3.3,GS,1682111515
31,ushuaia,-54.8,-68.3,4.81,75,40,11.83,AR,1682111515
32,georgetown,5.4112,100.3354,27.96,89,20,0.0,MY,1682111334
33,malvan,16.0667,73.4667,25.86,73,0,4.2,IN,1682111516
34,arvayheer,46.2639,102.775,-5.02,31,66,1.75,MN,1682111516
35,khanty-mansiysk,61.0042,69.0019,3.06,81,0,5.0,RU,1682111516
36,tshela,-4.9833,12.9333,22.38,100,100,0.1,CD,1682111516
37,vilyuysk,63.7553,121.6247,-6.56,97,100,1.46,RU,1682111516
38,tchintabaraden,15.8969,5.7985,31.7,11,0,3.48,NE,1682111516
39,mount pearl,47.5166,-52.7813,2.69,94,100,10.8,CA,1682111370
40,portland,45.5234,-122.6762,15.52,64,75,3.58,US,1682111516
41,lepsy,46.235,78.9456,4.43,58,3,2.42,KZ,1682111516
42,sao paulo de olivenca,-3.3783,-68.8725,24.59,93,100,2.05,BR,1682111516
43,udachny,66.4167,112.4,-16.53,100,100,1.74,RU,1682111516
44,hawaiian paradise park,19.5933,-154.9731,25.73,91,100,6.17,US,1682111516
45,trairi,-3.2778,-39.2689,26.08,81,54,3.66,BR,1682111500
46,iqaluit,63.7506,-68.5145,-1.15,86,100,5.66,CA,1682111517
47,hermosillo,29.0667,-110.9667,37.14,6,0,4.63,MX,1682111517
48,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,70,75,4.0,RU,1682111260
49,vilyuchinsk,52.9306,158.4028,3.15,97,100,14.14,RU,1682111517
50,barah,13.7,30.3667,28.81,9,4,4.81,SD,1682111517
51,colonia,50.9333,6.95,12.2,87,93,2.06,DE,1682111240
52,papatowai,-46.5619,169.4708,12.01,83,90,3.22,NZ,1682111517
53,ponta delgada,37.7333,-25.6667,16.4,82,40,7.2,PT,1682111517
54,qaqortoq,60.7167,-46.0333,5.19,66,98,2.24,GL,1682111517
55,adamstown,-25.066,-130.1015,24.75,80,100,9.56,PN,1682111517
56,tiksi,71.6872,128.8694,-19.8,100,90,0.9,RU,1682111517
57,iskateley,67.6803,53.1512,-2.85,97,100,3.88,RU,1682111517
58,wailua homesteads,22.0669,-159.378,25.63,83,0,4.63,US,1682111517
59,coquimbo,-29.9533,-71.3436,19.85,63,0,5.14,CL,1682111518
60,yaren,-0.5472,166.916,28.33,73,12,5.45,NR,1682111518
61,arnprior,45.4334,-76.3494,17.54,62,97,3.99,CA,1682111518
62,san pedro,14.35,121.0167,28.57,85,40,1.54,PH,1682111420
63,vizinga,61.0749,50.1031,2.68,93,89,1.82,RU,1682111518
64,vlore,40.4667,19.4897,13.4,78,0,2.12,AL,1682111518
65,kerikeri,-35.2268,173.9474,20.51,97,100,0.45,NZ,1682111518
66,pizarro,4.9533,-77.366,27.86,74,67,3.48,CO,1682111518
67,margate,51.3813,1.3862,7.17,88,65,2.07,GB,1682111295
68,lazaro cardenas,17.9583,-102.2,29.04,58,39,6.14,MX,1682111518
69,ghat,24.9647,10.1728,28.35,11,86,2.87,LY,1682111518
70,bridgeport,41.167,-73.2048,20.6,62,0,8.23,US,1682111252
71,arraias,-12.9288,-46.9437,25.4,67,61,0.66,BR,1682111518
72,east london,-33.0153,27.9116,16.45,74,80,1.38,ZA,1682111519
73,whitehorse,60.7161,-135.0538,5.73,35,73,1.34,CA,1682111519
74,chernyshevskiy,63.0128,112.4714,-20.79,100,91,0.38,RU,1682111519
75,longyearbyen,78.2186,15.6401,-14.09,61,20,7.72,SJ,1682111519
76,bilibino,68.0546,166.4372,-4.39,66,10,0.95,RU,1682111519
77,flying fish cove,-10.4217,105.6791,27.3,77,100,7.05,CX,1682111519
78,howard springs,-12.497,131.047,24.95,92,5,2.71,AU,1682111519
79,vernon,50.2581,-119.2691,12.56,55,97,1.34,CA,1682111417
80,hamilton,39.1834,-84.5333,15.7,90,100,3.6,US,1682111384
81,sao jose da coroa grande,-8.8978,-35.1478,25.98,83,4,4.24,BR,1682111519
82,tura,25.5198,90.2201,21.73,74,100,0.4,IN,1682111519
83,newman,37.3138,-121.0208,26.05,42,15,4.02,US,1682111519
84,margaret river,-33.95,115.0667,13.35,92,11,4.24,AU,1682111515
85,hammerfest,70.6634,23.6821,-2.75,63,75,9.77,NO,1682111519
86,gizo,-8.103,156.8419,27.73,77,49,2.6,SB,1682111520
87,chakari,-18.0629,29.8925,19.38,57,99,1.82,ZW,1682111520
88,huejutla de reyes,21.1333,-98.4167,32.77,58,60,2.88,MX,1682111520
89,shenjiamen,29.9576,122.298,12.69,76,16,5.16,CN,1682111520
90,yellowknife,62.456,-114.3525,4.2,60,91,5.36,CA,1682111520
91,port mathurin,-19.6833,63.4167,26.01,78,19,7.78,MU,1682111520
92,albany,42.6001,-73.9662,25.35,34,13,2.24,US,1682111439
93,vorkuta,67.5,64.0,-6.21,97,97,2.87,RU,1682111520
94,enewetak,11.3474,162.3373,26.08,85,100,7.81,MH,1682111520
95,gaogou,34.0175,119.1886,9.28,45,77,3.8,CN,1682111520
96,cannonvale,-20.2833,148.7,23.66,80,76,8.91,AU,1682111520
97,punta arenas,-53.15,-70.9167,7.06,61,0,7.72,CL,1682111489
98,haiku-pauwela,20.9219,-156.3051,28.01,71,20,5.66,US,1682111521
99,coahuayana de hidalgo,18.7,-103.6583,31.34,46,3,3.77,MX,1682111521
100,hadibu,12.65,54.0333,27.73,72,62,3.72,YE,1682111521
101,kone,-21.0595,164.8658,25.38,85,11,1.32,NC,1682111521
102,watampone,-4.5386,120.3279,24.56,91,97,1.99,ID,1682111521
103,el calafate,-50.3408,-72.2768,6.64,54,61,4.43,AR,1682111521
104,constantia,44.1833,28.65,6.5,85,18,4.87,RO,1682111446
105,west bay,19.3667,-81.4167,28.36,75,75,1.03,KY,1682111521
106,egilsstadir,65.2653,-14.3948,-1.49,87,99,6.09,IS,1682111521
107,sile,41.1754,29.6133,12.37,74,12,1.89,TR,1682111521
108,richards bay,-28.783,32.0377,19.97,76,100,2.03,ZA,1682111521
109,ad darb,17.7229,42.2526,30.69,53,5,2.29,SA,1682111522
110,tolanaro,-25.0319,46.9987,22.61,84,0,1.8,MG,1682111522
111,nokha,27.6,73.4167,25.93,11,0,4.09,IN,1682111414
112,tanout,14.9709,8.8879,31.73,14,6,2.95,NE,1682111522
113,bechar,31.6167,-2.2167,20.78,33,42,10.82,DZ,1682111523
114,uturoa,-16.7333,-151.4333,28.19,78,86,7.39,PF,1682111523
115,rio grande,-32.035,-52.0986,20.06,71,94,6.26,BR,1682111523
116,nar'yan-mar,67.6713,53.087,-2.82,97,100,3.88,RU,1682111523
117,callao,-12.0667,-77.15,26.16,61,0,8.23,PE,1682111524
118,cabo san lucas,22.8909,-109.9124,32.61,24,75,5.14,MX,1682111333
119,demidov,55.2706,31.515,7.51,72,68,1.0,RU,1682111524
120,portales,34.1862,-103.3344,22.96,7,23,7.86,US,1682111299
121,dudinka,69.4058,86.1778,-5.21,85,100,6.73,RU,1682111525
122,choyr,46.3611,108.3611,-3.49,56,3,4.17,MN,1682111525
123,argenton-sur-creuse,46.59,1.5198,9.19,83,100,2.98,FR,1682111525
124,kingston,17.997,-76.7936,28.53,69,75,5.66,JM,1682111283
125,vadso,70.0744,29.7487,-1.51,80,75,3.6,NO,1682111525
126,kristiansund,63.1115,7.732,8.03,76,0,1.54,NO,1682111526
127,tralee,52.2704,-9.7026,8.27,95,59,2.7,IE,1682111526
128,kavaratti,10.5669,72.642,28.63,74,6,4.02,IN,1682111526
129,olonkinbyen,70.9221,-8.7187,-4.33,62,50,5.0,SJ,1682111527
130,nizhnesortymskiy,62.4397,71.7603,-0.3,98,99,2.71,RU,1682111527
131,gadzhiyevo,69.2551,33.3362,-2.37,95,100,3.24,RU,1682111527
132,lebu,-37.6167,-73.65,14.55,81,57,4.92,CL,1682111528
133,al jumum,21.6169,39.6981,30.77,38,100,0.31,SA,1682111528
134,invercargill,-46.4,168.35,11.68,82,91,0.89,NZ,1682111528
135,turek,52.0155,18.5005,9.23,64,42,2.65,PL,1682111529
136,manthani,18.65,79.6667,30.03,40,62,1.64,IN,1682111529
137,happy valley-goose bay,53.3168,-60.3315,3.3,73,91,2.19,CA,1682111529
138,bansgaon,26.5586,83.3481,25.92,38,54,2.81,IN,1682111529
139,sisimiut,66.9395,-53.6735,0.62,77,100,1.04,GL,1682111530
140,garcia,25.8167,-100.5833,34.65,42,30,3.94,MX,1682111530
141,mangrol,21.1167,70.1167,25.71,83,3,5.05,IN,1682111531
142,luderitz,-26.6481,15.1594,14.37,71,33,3.79,NA,1682111531
143,avarua,-21.2078,-159.775,27.03,74,40,3.6,CK,1682111531
144,saipan,15.1355,145.701,26.47,100,100,5.81,MP,1682111532
145,dhidhdhoo,6.8833,73.1,28.68,70,2,1.21,MV,1682111532
146,takoradi,4.8845,-1.7554,27.49,85,90,5.3,GH,1682111532
147,al mijlad,11.0333,27.7333,31.13,8,3,5.27,SD,1682111533
148,saint-francois,46.4154,3.9054,14.69,66,0,6.17,FR,1682111426
149,kodiak,57.79,-152.4072,11.73,32,0,5.14,US,1682111534
150,new norfolk,-42.7826,147.0587,14.72,77,100,1.61,AU,1682111535
151,al khums,32.6486,14.2619,17.45,89,13,6.15,LY,1682111535
152,umm kaddadah,13.6017,26.6876,29.08,10,0,5.5,SD,1682111535
153,college,64.8569,-147.8028,4.39,59,75,0.45,US,1682111535
154,sibiti,-3.6819,13.3499,20.99,98,100,1.19,CG,1682111536
155,brokopondo,4.75,-55.1667,26.24,89,98,4.22,SR,1682111537
156,nemuro,43.3236,145.575,3.74,67,25,8.21,JP,1682111270
157,cill airne,52.05,-9.5167,8.38,94,94,1.81,IE,1682111537
158,selma,36.5708,-119.6121,25.85,35,0,0.0,US,1682111537
159,nadym,65.5333,72.5167,-1.85,92,100,3.01,RU,1682111538
